fccs_id,fccs_name
518,Northern and Central plains ruderal grassland and shrubland
519,Southeastern ruderal grassland
520,Caribbean drought deciduous dense woodland
521,Caribbean semi-deciduous and drought deciduous forest on alluvium
522,Caribbean seasonal evergreen and semi-deciduous forest on karst
523,Caribbean seasonal evergreen and evergreen forest
524,Caribbean evergreen and seasonal evergreen forest on karst
525,Caribbean evergreen forest on serpentine
526,Caribbean seasonal evergreen forest with coconut palm
527,Pacific Islands ravine forest
528,Great Basin & Intermountain ruderal shrubland
529,Great Basin & Intermountain Introduced Annual and Biennial Forbland
530,Temperate Pacific subalpine-montane wet meadow
531,Rocky Mountain alpine-montane wet meadow
532,Western ruderal marsh or wet meadow
533,California ruderal grassland meadow
534,Pacific islands savanna
535,Northwestern Great Plains canyon shrubland
538,Pacific Islands limestone forest
540,Mesquite scrub with invasive grasses
542,Colorado Plateau pinyon-juniper shrubland
1201,Corn field - post harvest
1202,Cotton field - post harvest
1203,Rice field - post harvest
1205,Soybean field - post harvest
1206,Corn field - growing season
1207,Cotton field - growing season
1208,Rice field - growing season
1209,Soybean field - growing season
1223,Wheat field - post harvest
1224,Wheat field - growing season
1225,Small grains (other) field - post harvest
1226,Small grains (other) field - growing season
1227,Sugarbeet field - growing season
1228,Bean field - growing season
1229,Potato field - growing season
1230,Other crop fields - growing season
1231,Sugarcane field - post harvest
1232,Miscellaneous vegetable or fruit field - growing season
1241,Sugarbeet field - post harvest
1242,Bean field - post harvest
1243,Potato field - post harvest
1244,Other crop fields - post harvest
1245,Sugarcane field - growing season
1247,Miscellaneous vegetable or fruit field - post harvest
1252,Lentil field - post harvest
1253,Lentil field - growing season
1260,Biofuel field - post harvest
1261,Fallow field - growing season
1262,Pasture or grass field - grazed or mown
1263,Biofuel field - growing season
1264,Pasture or grass field - ungrazed or unmown
1271,Tree nut field - no inter-row groundcover
1272,Tree nut field - with inter-row groundcover
1273,Tree fruit field - no inter-row groundcover
1274,Tree fruit field - with inter-row groundcover
1280,Bluegrass or grass seed field - post harvest or mown
1281,"Pasture, hay, or alfalfa field - grazed or harvested"
1282,Bluegrass or grass seed field - unmown or unharvested
1283,"Pasture, hay, or alfalfa field - ungrazed or unharvested"
1290,Winter wheat and corn (double crop) field
1291,Wheat and soybean (double crop) field
1292,Other grain and corn (double crop) field
1293,Lettuce and durum wheat (double crop) field
1294,Lettuce and upland cotton (double crop) field
1295,Wheat and sorghum (double crop) field
1296,Wheat and cotton (double crop) field
1297,Soybean and cotton (double crop) field
1298,Soybean and other grain (double crop) field
1299,Corn and soybean (double crop) field
